tree_number,diameter,height
334,36.27,22.88
335,62.52,30.54
336,70.45,31.17
337,58.22,28.77
338,53.58,27.98
339,57.72,28.59
340,40.41,20.13
341,39.84,23.05
342,39.72,20.4
343,42.3,21.98
344,62.09,27.88
345,55.12,27.03
346,54.66,24.79
347,54.31,26.81
348,51.8,25.58
349,56.9,28.23
350,38.06,21.36
351,37.89,21.77
352,36.09,19.41
353,35.79,21.11
354,30.08,20.06
355,35.96,20.17
356,36.43,20.44
357,34.59,21.32
358,35.43,21.7
359,36.37,21.17
360,38.85,21.95
361,47.76,23.01
362,38.88,21.49
363,45.11,22.66
364,41.14,22.02
365,40.03,22.3
366,34.13,20.39
367,38.96,21.8
368,38.51,22.6
369,34.97,22.07
370,42.49,22.51
371,35.99,21.73
372,35.81,21.44
373,46.95,21.85
374,43.85,25.05
375,41.59,20.8
376,46.58,24.4
377,59.31,26.37
378,61.72,22.75
379,45.06,23.95
380,39.99,23.98
381,46.6,24.77
382,47.36,24.34
383,55.24,26.56
384,38.46,20.17
385,33.46,20.49
386,85.83,35.24
387,45.81,26.06
388,44.12,23.32
389,49.54,24
390,46.42,25.68
391,50.4,28.74
392,47.5,25.6
393,48.93,25.63
394,57.15,27.98
395,52.7,27.06
396,51.97,22.94
397,49.75,24.9
398,47.93,23.52
399,52.51,23.77
400,43.56,20.5
401,53.93,23.84
402,50.75,24.43
403,48.53,24.45
404,45.15,21.76
405,47.75,21.99
406,35.09,20.29
407,41.65,20.42
408,31.01,17.58
409,37.46,20.07
410,35.16,20.28
411,32.73,18.8
412,35.41,19.88
413,38.09,22.9
414,40.13,22.92
415,35.76,20.35
416,56.33,25.91
417,50.31,26.19
418,35.02,19.49
419,42.11,20.98
420,42.58,24.19
421,41.48,22.08
422,37.08,19.35
423,66.94,32.27
424,74.29,33.23
425,46.46,24.98
426,37.41,22.3
427,73.76,36.06
428,48.03,25.07
429,52.55,27.72
430,29.31,21.68
431,66.4,29.44
432,48.47,25.38
433,59.46,29.05
434,37.89,18.75
435,50.86,26.34
436,51.29,24.34
437,39.9,24.61
438,54.99,27.35
439,46.81,26.11
440,60.78,29.5
441,50.16,26.57
442,47.16,24.82
443,49.69,23.77
444,62.22,30.91
445,53.27,28.36
446,53.55,28.3
447,63.43,28.77
448,49.06,25.77
449,69.95,32.12
450,71.19,33.28
451,34.11,22.02
452,68.23,31.85
453,73.59,31.54
454,45.88,24.69
455,54.78,27.93
456,52.47,27.25
457,49.33,26.88
458,40.48,23.61
459,42.15,24.42
460,57.98,28.63
461,53.3,31.01
462,37.41,22.06
463,35.04,23.19
464,53.57,28.66
465,70.04,33.35
466,55.16,24.19
467,46.58,25.76
468,54.74,28.37
469,47.12,24.94
470,57.52,27.72
471,67.04,29.31
472,44.52,21.47
473,47.19,24.33
474,46.95,23.39
475,49.52,22.24
476,71.94,29.62
477,55.36,26.97
